words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators,frequency,quadrant
AI,27,4.0,14.037037037037036,3.0,9.74074074074074,0.0,1.037037037037037,4,27,Star (明星詞)
App,11,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,2,11,Avoid (避開)
Canva,18,1.0,1.8888888888888888,0.0,0.1111111111111111,0.0,0.1111111111111111,2,18,Star (明星詞)
IG,44,1.0,2.977272727272727,0.0,3.159090909090909,0.0,0.045454545454545456,6,44,Star (明星詞)
shopee,41,0.0,0.0,0.0,0.0,0.0,0.0,1,41,Red Ocean (紅海詞)
人生,14,10.5,13.571428571428571,0.5,0.7142857142857143,0.0,0.21428571428571427,4,14,Blue Ocean (藍海詞)
作者,11,2.0,16.90909090909091,0.0,8.181818181818182,0.0,0.36363636363636365,4,11,Blue Ocean (藍海詞)
信任,11,4.0,6.090909090909091,0.0,1.1818181818181819,0.0,0.0,3,11,Blue Ocean (藍海詞)
價值,18,1.5,8.833333333333334,0.0,0.2222222222222222,0.0,0.2222222222222222,4,18,Star (明星詞)
分享,42,1.0,6.333333333333333,0.0,1.0714285714285714,0.0,0.23809523809523808,6,42,Star (明星詞)
創業,21,1.0,17.857142857142858,0.0,9.047619047619047,0.0,0.19047619047619047,6,21,Star (明星詞)
品牌,19,2.0,1.9473684210526316,0.0,0.21052631578947367,0.0,0.0,5,19,Star (明星詞)
商品,10,0.5,1.4,0.0,0.4,0.0,0.2,4,10,Avoid (避開)
喜歡,10,2.5,7.7,1.5,5.9,0.0,0.2,6,10,Blue Ocean (藍海詞)
娃娃,14,0.0,3.357142857142857,0.5,2.5714285714285716,0.0,0.0,1,14,Avoid (避開)
專業,12,1.0,14.083333333333334,0.0,1.9166666666666667,0.0,0.25,4,12,Blue Ocean (藍海詞)
工作,31,2.0,7.290322580645161,0.0,0.5806451612903226,0.0,0.06451612903225806,4,31,Star (明星詞)
工具,19,1.0,13.789473684210526,1.0,4.2631578947368425,0.0,1.0,4,19,Star (明星詞)
希望,13,2.0,4.461538461538462,1.0,1.5384615384615385,0.0,0.0,7,13,Blue Ocean (藍海詞)
情緒,27,0.0,1.8518518518518519,0.0,0.07407407407407407,0.0,0.037037037037037035,2,27,Red Ocean (紅海詞)
成功,10,0.0,9.6,0.0,0.1,0.0,0.3,4,10,Avoid (避開)
成為,16,0.0,0.75,0.0,0.0,0.0,0.0,3,16,Red Ocean (紅海詞)
成長,14,1.0,8.071428571428571,0.0,4.714285714285714,0.0,0.07142857142857142,5,14,Blue Ocean (藍海詞)
技巧,28,1.0,1.1428571428571428,0.0,1.2142857142857142,0.0,0.10714285714285714,2,28,Star (明星詞)
支持,10,0.0,2.0,0.0,1.4,0.0,0.1,5,10,Avoid (避開)
故事,13,4.0,14.153846153846153,13.0,13.923076923076923,1.0,0.6923076923076923,5,13,Blue Ocean (藍海詞)
教學,16,1.0,1.375,0.0,1.8125,0.0,0.1875,2,16,Star (明星詞)
數位,24,1.0,7.791666666666667,0.0,2.7916666666666665,0.0,0.20833333333333334,3,24,Star (明星詞)
日常,12,1.0,0.6666666666666666,0.0,0.08333333333333333,0.0,0.0,3,12,Blue Ocean (藍海詞)
朋友,12,3.0,13.75,0.0,5.666666666666667,0.0,0.3333333333333333,6,12,Blue Ocean (藍海詞)
歡迎,12,1.0,12.0,0.0,2.5,0.0,0.3333333333333333,7,12,Blue Ocean (藍海詞)
流量,11,2.0,6.090909090909091,0.0,4.7272727272727275,0.0,0.0,6,11,Blue Ocean (藍海詞)
照片,11,1.0,0.9090909090909091,0.0,0.45454545454545453,0.0,0.0,1,11,Blue Ocean (藍海詞)
生活,24,1.0,11.458333333333334,0.0,2.9166666666666665,0.0,0.16666666666666666,6,24,Star (明星詞)
留言,21,1.0,3.8095238095238093,0.0,4.380952380952381,0.0,0.42857142857142855,7,21,Star (明星詞)
發現,21,3.0,9.428571428571429,0.0,0.9047619047619048,0.0,0.14285714285714285,5,21,Star (明星詞)
私訊,16,1.0,1.1875,0.0,0.0625,0.0,0.0625,3,16,Star (明星詞)
第一次,10,2.5,9.0,0.0,6.4,0.0,0.3,6,10,Blue Ocean (藍海詞)
策略,10,1.0,1.0,0.0,0.0,0.0,0.0,4,10,Blue Ocean (藍海詞)
給你,25,1.0,1.84,0.0,0.16,0.0,0.12,4,25,Star (明星詞)
經營,18,1.5,13.0,0.0,6.277777777777778,0.0,0.0,3,18,Star (明星詞)
自媒體,19,1.0,8.0,0.0,5.421052631578948,0.0,0.05263157894736842,3,19,Star (明星詞)
自由,15,3.0,8.2,0.0,2.466666666666667,0.0,0.0,3,15,Blue Ocean (藍海詞)
蝦皮,22,0.0,0.0,0.0,0.0,0.0,0.0,2,22,Red Ocean (紅海詞)
行銷,16,1.0,2.1875,0.0,2.3125,0.0,0.125,4,16,Star (明星詞)
設計,26,1.0,8.461538461538462,0.0,0.23076923076923078,0.0,0.38461538461538464,3,26,Star (明星詞)
變現,14,2.5,15.357142857142858,0.0,6.714285714285714,0.0,0.2857142857142857,3,14,Blue Ocean (藍海詞)
質感,19,1.0,1.368421052631579,0.0,0.2631578947368421,0.0,0.2631578947368421,4,19,Star (明星詞)
購物,19,0.0,0.0,0.0,0.0,0.0,0.0,1,19,Red Ocean (紅海詞)
選擇,13,4.0,9.0,0.0,0.46153846153846156,0.0,0.0,4,13,Blue Ocean (藍海詞)
需要,18,1.5,10.38888888888889,0.0,3.888888888888889,0.0,0.1111111111111111,5,18,Star (明星詞)
