words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators,frequency,quadrant
100cm,13,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,1,13,Avoid (避開)
110,20,0.0,0.35,0.0,0.1,0.0,0.0,3,20,Red Ocean (紅海詞)
120,20,0.0,0.05,0.0,0.0,0.0,0.0,2,20,Red Ocean (紅海詞)
130,15,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,1,15,Avoid (避開)
130cm,10,0.0,0.3,0.0,0.0,0.0,0.0,1,10,Avoid (避開)
140,10,0.0,0.1,0.0,0.0,0.0,0.0,2,10,Avoid (避開)
140cm,10,0.0,0.3,0.0,0.0,0.0,0.0,1,10,Avoid (避開)
31,16,15.0,17.75,30.0,24.6875,0.0,0.0625,3,16,Star (明星詞)
320,13,0.0,0.0,0.0,0.0,0.0,0.0,2,13,Avoid (避開)
66,14,0.0,2.357142857142857,0.0,1.0,0.0,0.0,2,14,Avoid (避開)
73,16,0.0,2.125,0.0,1.25,0.0,0.0,2,16,Red Ocean (紅海詞)
73cm,13,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,1,13,Avoid (避開)
80cm,18,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,1,18,Red Ocean (紅海詞)
90cm,16,0.0,0.1875,0.0,0.0,0.0,0.0,1,16,Red Ocean (紅海詞)
AI,109,2.0,6.036697247706422,0.0,1.1376146788990826,0.0,0.6238532110091743,9,109,Star (明星詞)
Cursor,11,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,1,11,Avoid (避開)
GPT,14,1.0,2.0,0.0,1.0,0.0,0.0,3,14,Avoid (避開)
Google,18,2.0,8.777777777777779,0.0,2.1666666666666665,0.0,0.3333333333333333,4,18,Star (明星詞)
IG,67,2.0,15.925373134328359,1.0,31.044776119402986,0.0,0.08955223880597014,14,67,Star (明星詞)
Ig,11,27.0,55.0,18.0,54.45454545454545,0.0,0.5454545454545454,2,11,Blue Ocean (藍海詞)
LINE,13,0.0,5.230769230769231,0.0,2.230769230769231,0.0,0.15384615384615385,6,13,Avoid (避開)
Lazy,11,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.2727272727272727,1,11,Avoid (避開)
LazyStore,21,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,1,21,Red Ocean (紅海詞)
PM,10,2.0,6.6,0.0,2.2,0.0,0.4,2,10,Blue Ocean (藍海詞)
SEO,10,6.0,18.8,2.0,5.4,0.0,0.6,3,10,Blue Ocean (藍海詞)
Skool,10,2.0,8.5,0.0,1.6,0.0,0.4,1,10,Blue Ocean (藍海詞)
Store,12,0.0,0.5,0.0,0.4166666666666667,0.0,0.25,2,12,Avoid (避開)
Threads,64,2.0,18.921875,3.0,32.9375,0.0,0.3125,11,64,Star (明星詞)
ee,15,0.0,1.2666666666666666,0.0,0.0,0.0,0.4,3,15,Avoid (避開)
gener,16,4.0,3.375,0.0,0.8125,0.0,0.25,4,16,Star (明星詞)
lazy,13,0.0,0.5384615384615384,0.0,0.38461538461538464,0.0,0.38461538461538464,1,13,Avoid (避開)
lin,15,0.0,1.2666666666666666,0.0,0.0,0.0,0.4,3,15,Avoid (避開)
myship.7,19,3.0,3.0526315789473686,0.0,0.7368421052631579,0.0,0.21052631578947367,4,19,Star (明星詞)
the,10,2.0,2.3,0.0,0.1,0.0,0.0,2,10,Blue Ocean (藍海詞)
一人公司,11,2.0,5.181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091,2,11,Blue Ocean (藍海詞)
一件,23,3.0,11.782608695652174,0.0,2.1739130434782608,0.0,0.0,8,23,Star (明星詞)
一份,12,4.5,45.333333333333336,0.0,2.3333333333333335,0.0,1.1666666666666667,8,12,Blue Ocean (藍海詞)
一切,17,3.0,15.705882352941176,0.0,2.7058823529411766,0.0,0.23529411764705882,10,17,Star (明星詞)
一句,13,3.0,5.923076923076923,0.0,0.8461538461538461,0.0,0.0,8,13,Blue Ocean (藍海詞)
一天,36,5.5,11.472222222222221,1.0,11.5,0.0,0.1388888888888889,12,36,Star (明星詞)
一套,15,0.0,0.4,0.0,0.06666666666666667,0.0,0.0,5,15,Avoid (避開)
一字,16,0.5,0.75,0.0,0.0,0.0,0.375,1,16,Red Ocean (紅海詞)
一年,25,6.0,25.92,1.0,6.2,0.0,0.12,12,25,Star (明星詞)
一次,24,3.0,5.541666666666667,0.0,1.0,0.0,0.3333333333333333,11,24,Star (明星詞)
一種,18,2.5,23.11111111111111,0.0,2.5,0.0,0.5555555555555556,12,18,Star (明星詞)
一組,15,0.0,0.5333333333333333,0.0,0.0,0.0,0.4,2,15,Avoid (避開)
一貼,10,0.0,0.2,0.0,0.0,0.0,0.0,1,10,Avoid (避開)
一邊,15,3.0,7.4,0.0,4.133333333333334,0.0,0.13333333333333333,5,15,Blue Ocean (藍海詞)
一開始,15,3.0,6.733333333333333,0.0,1.3333333333333333,0.0,0.06666666666666667,7,15,Blue Ocean (藍海詞)
上架,12,0.0,0.9166666666666666,0.0,0.16666666666666666,0.0,0.0,3,12,Avoid (避開)
上班,16,4.0,8.9375,0.5,3.625,0.0,0.25,8,16,Star (明星詞)
上衣,37,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,2,37,Red Ocean (紅海詞)
上課,10,0.0,1.7,0.0,0.1,0.0,0.0,4,10,Avoid (避開)
下單,112,0.0,1.1607142857142858,0.0,0.125,0.0,0.0,6,112,Red Ocean (紅海詞)
下面,11,0.0,0.6363636363636364,0.0,0.5454545454545454,0.0,0.2727272727272727,2,11,Avoid (避開)
不傷,18,0.0,0.3888888888888889,0.0,0.5,0.0,0.0,1,18,Red Ocean (紅海詞)
不到,18,6.5,13.222222222222221,0.0,2.6666666666666665,0.0,0.0,10,18,Star (明星詞)
不同,21,2.0,7.238095238095238,0.0,2.380952380952381,0.0,0.09523809523809523,9,21,Star (明星詞)
不夠,13,4.0,10.153846153846153,0.0,0.9230769230769231,0.0,0.15384615384615385,8,13,Blue Ocean (藍海詞)
不好,21,16.0,41.142857142857146,1.0,3.9047619047619047,0.0,1.1904761904761905,9,21,Star (明星詞)
不影響,13,1.0,1.0769230769230769,0.0,0.15384615384615385,0.0,0.0,1,13,Avoid (避開)
不怕,13,0.0,11.153846153846153,0.0,3.769230769230769,0.0,0.0,5,13,Avoid (避開)
不想,15,3.0,59.8,0.0,13.066666666666666,0.0,0.6,10,15,Blue Ocean (藍海詞)
不接,33,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,1,33,Red Ocean (紅海詞)
世界,20,3.5,24.0,0.0,1.85,0.0,0.35,8,20,Star (明星詞)
主管,17,21.0,45.05882352941177,1.0,7.294117647058823,0.0,0.7058823529411765,4,17,Star (明星詞)
了解,10,1.5,2.4,0.0,0.3,0.0,0.0,5,10,Avoid (避開)
事業,12,1.5,5.0,0.0,1.0833333333333333,0.0,0.16666666666666666,5,12,Avoid (避開)
互相,21,52.0,42.095238095238095,43.0,62.714285714285715,0.0,0.23809523809523808,8,21,Star (明星詞)
交流,21,3.0,10.333333333333334,1.0,6.0,0.0,0.047619047619047616,9,21,Star (明星詞)
人才,17,2.0,5.529411764705882,0.0,0.7647058823529411,0.0,0.29411764705882354,4,17,Star (明星詞)
人生,33,3.0,15.424242424242424,0.0,12.787878787878787,0.0,0.3939393939393939,9,33,Star (明星詞)
什麼樣,12,3.0,6.083333333333333,0.0,1.3333333333333333,0.0,0.08333333333333333,4,12,Blue Ocean (藍海詞)
今年,23,15.0,19.565217391304348,10.0,22.217391304347824,0.0,0.043478260869565216,9,23,Star (明星詞)
付款,22,0.0,1.5454545454545454,0.0,0.09090909090909091,0.0,0.0,2,22,Red Ocean (紅海詞)
以上,16,4.0,5.625,0.0,0.5,0.0,0.0625,8,16,Star (明星詞)
件套,10,0.0,0.1,0.0,0.0,0.0,0.0,2,10,Avoid (避開)
企劃,14,16.0,32.92857142857143,5.5,10.428571428571429,0.0,0.5,4,14,Blue Ocean (藍海詞)
企業,48,2.0,4.354166666666667,0.0,0.8333333333333334,0.0,0.22916666666666666,4,48,Star (明星詞)
