words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators,frequency,quadrant
0.8,12,21.5,23.083333333333332,0.5,2.1666666666666665,1.0,0.75,1,12,Blue Ocean (藍海詞)
08,18,2.0,2.3333333333333335,0.0,0.0,0.0,0.0,2,18,Red Ocean (紅海詞)
1.1,10,24.5,27.8,1.0,2.3,0.5,0.5,2,10,Blue Ocean (藍海詞)
1.2,13,12.0,20.846153846153847,0.0,0.8461538461538461,0.0,0.46153846153846156,2,13,Avoid (避開)
1.5,22,17.0,20.045454545454547,0.0,0.5454545454545454,0.5,0.5,1,22,Star (明星詞)
1M,19,9.0,17.0,0.0,0.6842105263157895,1.0,0.5789473684210527,1,19,Red Ocean (紅海詞)
2.5,14,14.0,16.214285714285715,0.0,0.7857142857142857,0.5,0.5,2,14,Blue Ocean (藍海詞)
20000,14,91.5,103.0,35.5,35.92857142857143,1.0,1.0714285714285714,1,14,Blue Ocean (藍海詞)
2M,16,14.0,21.9375,0.0,1.0,0.5,0.5625,1,16,Blue Ocean (藍海詞)
AI,42,10.0,20.404761904761905,1.0,4.4523809523809526,0.0,0.6666666666666666,4,42,Red Ocean (紅海詞)
By,29,12.0,15.10344827586207,0.0,0.5862068965517241,0.0,0.41379310344827586,2,29,Red Ocean (紅海詞)
Day,13,10.0,14.23076923076923,0.0,0.07692307692307693,0.0,0.38461538461538464,1,13,Avoid (避開)
Engineer,10,10.0,11.2,0.0,0.2,0.0,0.3,1,10,Avoid (避開)
KPI,16,8.0,11.125,1.0,1.4375,0.0,0.25,3,16,Avoid (避開)
Manager,22,16.0,18.90909090909091,0.0,0.7272727272727273,1.0,0.5454545454545454,1,22,Star (明星詞)
Marketing,10,20.0,23.8,0.5,0.8,0.0,0.4,1,10,Blue Ocean (藍海詞)
Notion,51,7.0,23.529411764705884,2.0,6.803921568627451,0.0,0.6666666666666666,1,51,Red Ocean (紅海詞)
Sales,16,14.0,17.4375,0.0,0.5625,0.0,0.4375,1,16,Blue Ocean (藍海詞)
Senior,11,12.0,26.09090909090909,0.0,0.9090909090909091,0.0,0.45454545454545453,1,11,Avoid (避開)
Threads,29,135.0,170.6551724137931,39.0,46.93103448275862,0.0,1.103448275862069,4,29,Star (明星詞)
XD,11,5.0,10.363636363636363,1.0,3.0,0.0,0.2727272727272727,2,11,Avoid (避開)
leadingmrk,14,3.0,4.642857142857143,0.0,0.5714285714285714,0.0,0.5714285714285714,1,14,Avoid (避開)
一人公司,16,14.5,28.75,2.0,4.125,0.0,0.9375,1,16,Blue Ocean (藍海詞)
一件,25,9.0,36.32,0.0,2.68,0.0,1.88,3,25,Red Ocean (紅海詞)
一則,18,44.5,53.333333333333336,7.0,6.833333333333333,1.5,1.6666666666666667,2,18,Star (明星詞)
一句,15,8.0,72.66666666666667,1.0,2.6666666666666665,0.0,1.1333333333333333,5,15,Avoid (避開)
一天,16,28.0,35.4375,1.0,6.3125,0.0,0.25,6,16,Blue Ocean (藍海詞)
一家,39,133.0,163.64102564102564,46.0,51.51282051282051,0.0,0.9487179487179487,1,39,Star (明星詞)
