username,full_name,followers,post_count,avg_likes,median_likes,max_likes,avg_replies,avg_reposts,posts_per_week,preferred_hour,primary_type,secondary_type,confidence,reasoning,dominant_article_category
sn._12design,𝑩𝒖𝒅𝒅𝒊𝒏𝒈 ＆𝑩𝒍𝒐𝒐𝒎  |  Logo、包裝設計  x  法式復古美學･₊ ˚ ౨ৎ,6776,10,359.9,230.5,990,16.7,8.1,0.7,22,創業歷程型,專業服務型,0.9,主要內容圍繞20歲女大生的創業歷程，分享個人故事與成長，同時也提供Logo、包裝設計等專業服務。,其他
houjing_65gp,車站65元雞排,2507,151,223.81456953642385,177.0,954,18.490066225165563,1.1523178807947019,4.081081081081081,18,創業歷程型,電商導購型,0.9,主要內容為記錄創業賣雞排的歷程，包含每日進度、遇到的困難與收穫，以及顧客互動等。同時也有提到商品（雞排）的價格和地點，具有導購性質。,生活記錄
ltc_052414,淋糖 x 奶酪,1334,15,141.8,45.0,772,131.6,2.2,4.565217391304348,20,電商導購型,創業歷程型,0.85,創作者販售甜點，提供預訂資訊和購買連結，符合電商導購型特徵。同時，貼文中也分享創業歷程，因此也帶有創業歷程型的色彩。,問答互動
pandawork_,Panda熊貓,6549,126,140.87301587301587,39.0,893,6.523809523809524,6.825396825396825,1.5806451612903227,18,專業服務型,知識教學型,0.85,創作者簡介和貼文內容都顯示其主要業務是平面設計和廣告圖設計，並提供客戶案例和設計技巧分享，屬於專業服務型。同時，部分貼文也包含設計教學和工具推薦，因此也帶有知識教學型的特徵。,經驗分享
nnntimee,圓森甜點,21021,176,138.45454545454547,111.0,763,45.81818181818182,0.8863636363636364,20.533333333333335,12,創業歷程型,電商導購型,0.85,主要分享創業故事，例如不露臉經營甜點店的歷程，並有導購行為，例如百貨公司設櫃。,成果展示
lee_peipeiyu,李佩佩是一隻妤,4141,163,120.14723926380368,29.0,940,3.625766871165644,3.067484662576687,2.9181585677749364,9,思想觀點型,創業歷程型,0.85,主要分享個人觀點和情感，帶有個人成長和創業相關的敘事。,觀點評論
barbertree.art,小樹森繪,539,73,117.78082191780823,25.0,988,9.712328767123287,1.7123287671232876,1.0240480961923846,4,創業歷程型,思想觀點型,0.85,主要分享個人生活、求職面試等經驗，帶有個人敘事色彩，同時也會對職場現象發表看法。,經驗分享
mr.derek0805,𝐌𝐫. 𝐃𝐞𝐫𝐞𝐤｜電商創業 ✘ 一人公司 ✘ 電商心法,8479,78,109.97435897435898,57.0,573,14.628205128205128,1.8717948717948718,1.3317073170731708,1,創業歷程型,電商導購型,0.9,主要分享創業歷程，包含個人故事、轉職經驗、以及電商經營技巧。同時，部分貼文也展示了銷售成果，具有電商導購的次要特徵。,經驗分享
mori_anew,MORI ｜服飾選品店,7435,151,93.34437086092716,42.0,851,7.2052980132450335,3.019867549668874,9.878504672897195,21,電商導購型,,0.95,從簡介和貼文內容可得知，該帳號主要目的是銷售服飾商品，貼文內容包含商品照片、地點資訊，以及促銷訊息，符合電商導購型的特徵。,其他
a_bb__460,楊梅埔心 ｜頭皮保養｜蘊髮,792,44,90.45454545454545,61.5,432,36.68181818181818,0.25,1.6125654450261782,20,創業歷程型,專業服務型,0.85,主要分享創業開店的心路歷程，包含遇到的困難與解決方法，同時也提供頭皮護理的專業服務。,問答互動
