words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators
100cm,13,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,1
110,20,0.0,0.35,0.0,0.1,0.0,0.0,3
120,20,0.0,0.05,0.0,0.0,0.0,0.0,2
130,15,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,1
130cm,10,0.0,0.3,0.0,0.0,0.0,0.0,1
140,10,0.0,0.1,0.0,0.0,0.0,0.0,2
140cm,10,0.0,0.3,0.0,0.0,0.0,0.0,1
31,16,15.0,17.75,30.0,24.6875,0.0,0.0625,3
320,13,0.0,0.0,0.0,0.0,0.0,0.0,2
66,14,0.0,2.357142857142857,0.0,1.0,0.0,0.0,2
73,16,0.0,2.125,0.0,1.25,0.0,0.0,2
73cm,13,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,1
80cm,18,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,1
90cm,16,0.0,0.1875,0.0,0.0,0.0,0.0,1
AI,109,2.0,6.036697247706422,0.0,1.1376146788990826,0.0,0.6238532110091743,9
Cursor,11,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,1
GPT,14,1.0,2.0,0.0,1.0,0.0,0.0,3
Google,18,2.0,8.777777777777779,0.0,2.1666666666666665,0.0,0.3333333333333333,4
IG,67,2.0,15.925373134328359,1.0,31.044776119402986,0.0,0.08955223880597014,14
Ig,11,27.0,55.0,18.0,54.45454545454545,0.0,0.5454545454545454,2
LINE,13,0.0,5.230769230769231,0.0,2.230769230769231,0.0,0.15384615384615385,6
Lazy,11,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.2727272727272727,1
LazyStore,21,0.0,0.23809523809523808,0.0,0.0,0.0,0.0,1
PM,10,2.0,6.6,0.0,2.2,0.0,0.4,2
SEO,10,6.0,18.8,2.0,5.4,0.0,0.6,3
Skool,10,2.0,8.5,0.0,1.6,0.0,0.4,1
Store,12,0.0,0.5,0.0,0.4166666666666667,0.0,0.25,2
Threads,64,2.0,18.921875,3.0,32.9375,0.0,0.3125,11
ee,15,0.0,1.2666666666666666,0.0,0.0,0.0,0.4,3
gener,16,4.0,3.375,0.0,0.8125,0.0,0.25,4
lazy,13,0.0,0.5384615384615384,0.0,0.38461538461538464,0.0,0.38461538461538464,1
lin,15,0.0,1.2666666666666666,0.0,0.0,0.0,0.4,3
myship.7,19,3.0,3.0526315789473686,0.0,0.7368421052631579,0.0,0.21052631578947367,4
the,10,2.0,2.3,0.0,0.1,0.0,0.0,2
一人公司,11,2.0,5.181818181818182,0.0,0.09090909090909091,0.0,0.09090909090909091,2
一件,23,3.0,11.782608695652174,0.0,2.1739130434782608,0.0,0.0,8
一份,12,4.5,45.333333333333336,0.0,2.3333333333333335,0.0,1.1666666666666667,8
一切,17,3.0,15.705882352941176,0.0,2.7058823529411766,0.0,0.23529411764705882,10
一句,13,3.0,5.923076923076923,0.0,0.8461538461538461,0.0,0.0,8
一天,36,5.5,11.472222222222221,1.0,11.5,0.0,0.1388888888888889,12
一套,15,0.0,0.4,0.0,0.06666666666666667,0.0,0.0,5
一字,16,0.5,0.75,0.0,0.0,0.0,0.375,1
一年,25,6.0,25.92,1.0,6.2,0.0,0.12,12
一次,24,3.0,5.541666666666667,0.0,1.0,0.0,0.3333333333333333,11
一種,18,2.5,23.11111111111111,0.0,2.5,0.0,0.5555555555555556,12
一組,15,0.0,0.5333333333333333,0.0,0.0,0.0,0.4,2
一貼,10,0.0,0.2,0.0,0.0,0.0,0.0,1
一邊,15,3.0,7.4,0.0,4.133333333333334,0.0,0.13333333333333333,5
一開始,15,3.0,6.733333333333333,0.0,1.3333333333333333,0.0,0.06666666666666667,7
上架,12,0.0,0.9166666666666666,0.0,0.16666666666666666,0.0,0.0,3
上班,16,4.0,8.9375,0.5,3.625,0.0,0.25,8
上衣,37,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,2
上課,10,0.0,1.7,0.0,0.1,0.0,0.0,4
下單,112,0.0,1.1607142857142858,0.0,0.125,0.0,0.0,6
下面,11,0.0,0.6363636363636364,0.0,0.5454545454545454,0.0,0.2727272727272727,2
不傷,18,0.0,0.3888888888888889,0.0,0.5,0.0,0.0,1
不到,18,6.5,13.222222222222221,0.0,2.6666666666666665,0.0,0.0,10
不同,21,2.0,7.238095238095238,0.0,2.380952380952381,0.0,0.09523809523809523,9
