words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean
20,15,1071.0,3021.3333333333335,27.0,103.0,4.0,43.4
Instagram,15,1334.0,2111.866666666667,49.0,82.73333333333333,61.0,75.33333333333333
logo,15,1334.0,2111.866666666667,49.0,82.73333333333333,61.0,75.33333333333333
mayukichou,15,1334.0,2111.866666666667,49.0,82.73333333333333,61.0,75.33333333333333
youtube,11,461.0,814.6363636363636,2.0,26.727272727272727,2.0,18.545454545454547
一樣,13,556.0,715.8461538461538,7.0,10.0,5.0,13.692307692307692
一種,13,313.0,847.1538461538462,6.0,24.384615384615383,5.0,25.307692307692307
一起,21,962.0,1704.4285714285713,45.0,55.38095238095238,28.0,38.61904761904762
一點,12,500.0,834.0833333333334,7.5,42.583333333333336,6.5,12.166666666666666
不會,23,1121.0,2924.1304347826085,57.0,120.30434782608695,31.0,73.8695652173913
不用,20,962.0,1871.1,33.0,49.3,26.0,33.55
不能,28,949.5,1658.1785714285713,39.5,59.785714285714285,21.0,38.892857142857146
不要,60,1270.0,2063.366666666667,38.5,51.75,25.0,46.833333333333336
世界,11,540.0,761.8181818181819,5.0,16.727272727272727,3.0,8.181818181818182
事情,15,962.0,1284.7333333333333,44.0,40.6,10.0,30.533333333333335
事業,12,1109.5,1229.5833333333333,25.0,34.166666666666664,14.0,24.75
人生,16,780.0,1003.375,9.0,16.25,8.5,20.625
他人,11,866.0,2134.4545454545455,42.0,51.90909090909091,14.0,26.363636363636363
代表,10,1505.5,3847.0,55.0,104.2,14.0,90.7
保護,11,1380.0,1810.090909090909,26.0,40.36363636363637,11.0,28.454545454545453
值得,14,737.5,1061.642857142857,14.0,30.0,14.5,23.357142857142858
價值,13,1045.0,3205.230769230769,23.0,54.46153846153846,16.0,56.69230769230769
公司,29,7118.0,9109.206896551725,215.0,286.0689655172414,63.0,160.72413793103448
出來,20,875.5,1915.45,30.0,40.95,14.5,26.75
分享,21,771.0,1357.0,26.0,30.285714285714285,10.0,21.285714285714285
別人,22,389.5,782.1363636363636,7.5,29.59090909090909,4.5,18.363636363636363
到底,20,1163.0,2217.0,47.0,58.7,27.5,51.15
創業,20,996.0,3084.9,27.0,70.65,3.5,28.75
努力,19,448.0,1131.842105263158,9.0,31.263157894736842,3.0,8.894736842105264
勇敢,12,990.0,1787.8333333333333,23.0,28.083333333333332,20.0,37.916666666666664
十年,11,1426.0,2255.0,55.0,71.81818181818181,27.0,25.727272727272727
受害者,11,913.0,3251.181818181818,35.0,61.90909090909091,26.0,92.45454545454545
只要,12,717.0,1065.3333333333333,23.5,45.5,11.0,25.333333333333332
問題,17,1321.0,4283.35294117647,52.0,152.94117647058823,32.0,109.05882352941177
