words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean
0.8,12,21.5,23.083333333333332,0.5,2.1666666666666665,1.0,0.75
08,18,2.0,2.3333333333333335,0.0,0.0,0.0,0.0
1.1,10,24.5,27.8,1.0,2.3,0.5,0.5
1.2,13,12.0,20.846153846153847,0.0,0.8461538461538461,0.0,0.46153846153846156
1.5,22,17.0,20.045454545454547,0.0,0.5454545454545454,0.5,0.5
10,18,11.0,17.666666666666668,0.5,2.1666666666666665,0.0,0.2777777777777778
100,24,9.0,10.125,0.0,0.7916666666666666,0.0,0.2916666666666667
12,14,11.0,16.0,0.0,1.8571428571428572,0.0,0.14285714285714285
1M,19,9.0,17.0,0.0,0.6842105263157895,1.0,0.5789473684210527
2.5,14,14.0,16.214285714285715,0.0,0.7857142857142857,0.5,0.5
20,14,13.0,23.285714285714285,1.0,7.928571428571429,0.0,0.6428571428571429
200,37,139.0,173.0,48.0,56.08108108108108,0.0,0.8378378378378378
20000,14,91.5,103.0,35.5,35.92857142857143,1.0,1.0714285714285714
2025,19,10.0,17.31578947368421,1.0,3.0526315789473686,0.0,0.0
2026,25,27.0,38.68,3.0,15.04,0.0,0.44
2M,16,14.0,21.9375,0.0,1.0,0.5,0.5625
AI,42,10.0,20.404761904761905,1.0,4.4523809523809526,0.0,0.6666666666666666
By,28,11.0,14.857142857142858,0.0,0.5,0.0,0.39285714285714285
Day,13,10.0,14.23076923076923,0.0,0.07692307692307693,0.0,0.38461538461538464
Engineer,10,10.0,11.2,0.0,0.2,0.0,0.3
KPI,16,8.0,11.125,1.0,1.4375,0.0,0.25
Manager,22,16.0,18.90909090909091,0.0,0.7272727272727273,1.0,0.5454545454545454
Marketing,10,20.0,23.8,0.5,0.8,0.0,0.4
Notion,51,7.0,23.529411764705884,2.0,6.803921568627451,0.0,0.6666666666666666
Sales,16,14.0,17.4375,0.0,0.5625,0.0,0.4375
Senior,11,12.0,26.09090909090909,0.0,0.9090909090909091,0.0,0.45454545454545453
Threads,29,135.0,170.6551724137931,39.0,46.93103448275862,0.0,1.103448275862069
XD,11,5.0,10.363636363636363,1.0,3.0,0.0,0.2727272727272727
leadingmrk,14,3.0,4.642857142857143,0.0,0.5714285714285714,0.0,0.5714285714285714
一人公司,16,14.5,28.75,2.0,4.125,0.0,0.9375
一件,25,9.0,36.32,0.0,2.68,0.0,1.88
一則,18,44.5,53.333333333333336,7.0,6.833333333333333,1.5,1.6666666666666667
一句,15,8.0,72.66666666666667,1.0,2.6666666666666665,0.0,1.1333333333333333
一天,16,28.0,35.4375,1.0,6.3125,0.0,0.25
一家,39,133.0,163.64102564102564,46.0,51.51282051282051,0.0,0.9487179487179487
一年,21,25.0,40.61904761904762,4.0,8.80952380952381,0.0,0.47619047619047616
一樣,29,10.0,64.96551724137932,1.0,15.758620689655173,0.0,0.20689655172413793
一次,13,7.0,9.76923076923077,0.0,0.46153846153846156,0.0,0.15384615384615385
一步,79,133.0,157.13924050632912,48.0,50.89873417721519,0.0,0.759493670886076
一種,16,14.0,41.375,0.5,2.3125,0.0,0.875
一般,10,9.0,7.4,0.0,0.1,0.0,0.1
一起,35,7.0,25.0,1.0,3.914285714285714,0.0,0.3142857142857143
一點,26,7.0,111.1923076923077,0.0,3.6923076923076925,0.0,6.538461538461538
三年,27,16.0,19.296296296296298,0.0,1.4814814814814814,0.0,0.5925925925925926
三遍,11,12.0,15.090909090909092,0.0,0.0,0.0,0.18181818181818182
上班,18,29.0,2415.3333333333335,3.0,21.22222222222222,0.5,87.11111111111111
下午,19,10.0,14.210526315789474,0.0,1.8421052631578947,0.0,0.10526315789473684
下班,22,12.0,923.2727272727273,0.0,6.954545454545454,0.0,29.181818181818183
不再,17,8.0,39.8235294117647,0.0,2.7058823529411766,0.0,2.411764705882353
不到,15,17.0,54.2,1.0,4.6,0.0,2.8
不同,31,10.0,21.774193548387096,1.0,4.064516129032258,0.0,0.41935483870967744
不想,16,17.5,151.5,0.0,1.6875,0.0,13.0
不會,33,13.0,16.424242424242426,0.0,2.121212121212121,0.0,0.24242424242424243
不用,24,15.0,23.125,0.0,1.7916666666666667,0.0,0.08333333333333333
不能,14,33.0,247.92857142857142,2.5,6.071428571428571,1.0,11.357142857142858
不要,49,15.0,81.24489795918367,1.0,15.46938775510204,0.0,0.8163265306122449
不露,32,147.0,187.9375,51.0,60.34375,0.0,0.875
世界,13,13.0,11.076923076923077,0.0,0.5384615384615384,0.0,0.0
中英文,17,19.0,22.529411764705884,0.0,0.9411764705882353,0.0,0.4117647058823529
