words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean
--,17,17.0,22.058823529411764,2.0,7.764705882352941,0.0,0.4117647058823529
..,134,18.5,51.149253731343286,5.5,18.14179104477612,0.0,0.417910447761194
....,22,13.5,40.5,2.0,21.045454545454547,0.0,0.7272727272727273
.....,11,38.0,115.81818181818181,26.0,110.54545454545455,0.0,1.3636363636363635
0%,35,1.0,1.0,0.0,0.37142857142857144,0.0,0.02857142857142857
0.8,26,19.0,21.384615384615383,0.0,1.5384615384615385,1.0,0.9230769230769231
00,259,5.0,72.5945945945946,0.0,3.5444015444015444,0.0,0.972972972972973
000,54,5.5,168.24074074074073,1.0,20.35185185185185,0.0,0.8333333333333334
01,11,4.0,913.6363636363636,0.0,3.5454545454545454,0.0,5.454545454545454
02,15,3.0,670.0666666666667,0.0,1.9333333333333333,0.0,4.066666666666666
06,24,2.0,3.0,0.0,0.4166666666666667,0.0,0.041666666666666664
07,22,3.0,4.2272727272727275,0.0,0.2727272727272727,0.0,0.18181818181818182
08,34,2.0,2.9411764705882355,0.0,0.29411764705882354,0.0,0.029411764705882353
09,16,2.0,3.1875,0.0,0.5,0.0,0.0
1%,15,6.0,10.866666666666667,0.0,0.8666666666666667,0.0,0.26666666666666666
1.1,18,33.5,39.833333333333336,1.0,11.444444444444445,1.0,0.7777777777777778
1.2,22,16.0,29.272727272727273,0.0,0.7727272727272727,0.0,0.8181818181818182
1.3,16,11.0,14.875,0.0,0.6875,1.0,0.8125
1.5,41,17.0,22.29268292682927,0.0,1.4390243902439024,1.0,0.8292682926829268
10%,20,24.0,60.75,1.5,4.9,0.5,1.65
100,258,3.5,57.325581395348834,0.0,7.015503875968992,0.0,1.127906976744186
100%,34,15.0,45.0,2.0,4.411764705882353,0.0,2.0294117647058822
1000,87,15.0,68.88505747126437,2.0,12.919540229885058,0.0,3.103448275862069
10000,13,34.0,68.84615384615384,14.0,18.615384615384617,0.0,0.38461538461538464
100cm,13,0.0,0.23076923076923078,0.0,0.0,0.0,0.0
101,20,53.0,139.05,35.5,31.7,2.0,4.05
104,12,49.0,802.9166666666666,4.5,22.333333333333332,1.0,26.0
11,475,5.0,82.15578947368421,0.0,6.574736842105263,0.0,2.0694736842105264
110,86,0.0,1.6744186046511629,0.0,0.06976744186046512,0.0,0.20930232558139536
1111,12,26.0,32.5,5.0,18.0,0.0,0.6666666666666666
12,293,6.0,108.02389078498294,1.0,10.040955631399317,0.0,2.3993174061433447
120,81,0.0,107.28395061728395,0.0,4.691358024691358,0.0,2.4444444444444446
13,78,10.0,247.7948717948718,1.0,9.102564102564102,0.0,7.0256410256410255
130,67,0.0,0.26865671641791045,0.0,0.04477611940298507,0.0,0.0
130cm,10,0.0,0.3,0.0,0.0,0.0,0.0
14,65,7.0,640.4615384615385,0.0,11.153846153846153,0.0,14.046153846153846
140,44,0.0,0.4318181818181818,0.0,0.022727272727272728,0.0,0.0
140cm,10,0.0,0.3,0.0,0.0,0.0,0.0
149,23,3.0,4.391304347826087,0.0,0.5217391304347826,0.0,0.6086956521739131
15,104,14.0,174.73076923076923,1.0,12.971153846153847,0.0,5.048076923076923
15%,11,9.0,55.54545454545455,0.0,2.272727272727273,1.0,1.9090909090909092
150,43,1.0,20.72093023255814,0.0,6.813953488372093,0.0,0.5813953488372093
1500,11,108.0,98.18181818181819,21.0,20.272727272727273,2.0,3.090909090909091
16,89,6.0,217.67415730337078,1.0,9.0561797752809,0.0,5.191011235955056
160,17,0.0,0.47058823529411764,0.0,0.058823529411764705,0.0,0.0
17,47,12.0,50.723404255319146,0.0,6.829787234042553,0.0,1.1914893617021276
17%,11,0.0,1.6363636363636365,0.0,0.18181818181818182,0.0,0.0
17000,11,117.0,132.0909090909091,55.0,64.27272727272727,0.0,0.36363636363636365
18,85,8.0,58.10588235294118,0.0,5.117647058823529,0.0,1.1764705882352942
1800,43,0.0,1.2790697674418605,0.0,0.06976744186046512,0.0,0.37209302325581395
18000,10,146.0,242.1,66.5,70.7,0.0,1.1
19,54,16.5,42.129629629629626,2.0,9.574074074074074,0.0,0.9444444444444444
1M,40,11.0,22.175,0.0,0.975,1.0,0.675
1gJpq,10,2.0,3.1,0.0,0.0,0.0,0.1
2%,10,26.5,86.8,8.0,17.7,1.5,4.8
2.3,11,11.0,24.636363636363637,0.0,6.636363636363637,0.0,0.45454545454545453
2.5,22,14.0,18.40909090909091,0.0,0.6363636363636364,1.0,0.7272727272727273
20,247,16.0,246.8502024291498,1.0,12.894736842105264,0.0,3.8623481781376516
20%,25,4.0,29.52,0.0,6.92,0.0,1.0
200,145,70.0,125.59310344827587,35.0,41.84137931034483,0.0,0.993103448275862
2000,103,7.0,300.252427184466,0.0,16.844660194174757,0.0,3.6601941747572817
20000,15,87.0,97.53333333333333,36.0,36.53333333333333,1.0,1.0
2020,13,31.0,138.0,4.0,24.692307692307693,0.0,0.7692307692307693
2022,10,33.5,296.0,4.0,20.8,0.0,14.6
2023,21,24.0,158.0,1.0,32.04761904761905,0.0,1.8095238095238095
2024,50,21.0,139.02,1.0,15.82,0.0,4.12
2025,318,7.0,55.37106918238994,0.0,5.647798742138365,0.0,0.7641509433962265
2026,200,9.0,20.485,1.0,6.245,0.0,0.435
205,23,17.0,43.34782608695652,1.0,5.304347826086956,1.0,2.608695652173913
21,70,5.0,38.18571428571428,0.0,7.914285714285715,0.0,0.4714285714285714
219znhvu,26,3.0,3.5384615384615383,0.0,0.38461538461538464,0.0,0.038461538461538464
22,52,12.5,67.86538461538461,1.0,7.961538461538462,0.0,0.5192307692307693
23,74,5.0,1415.662162162162,0.0,30.013513513513512,0.0,24.10810810810811
24,74,10.0,79.71621621621621,1.0,16.22972972972973,0.0,5.783783783783784
25,79,6.0,107.48101265822785,0.0,7.582278481012659,0.0,1.620253164556962
25%,10,0.0,21.4,0.0,1.1,0.0,1.1
250,10,13.0,46.0,1.5,6.4,0.0,1.5
26,43,11.0,33.04651162790697,0.0,4.465116279069767,0.0,0.23255813953488372
260,19,1.0,12.368421052631579,0.0,1.9473684210526316,0.0,0.631578947368421
27,51,3.0,15.019607843137255,0.0,3.7058823529411766,0.0,0.6666666666666666
28,43,6.0,28.25581395348837,0.0,7.348837209302325,0.0,0.20930232558139536
29,29,6.0,14.448275862068966,0.0,9.172413793103448,0.0,0.13793103448275862
290,13,9.0,7.6923076923076925,2.0,1.4615384615384615,0.0,0.38461538461538464
2M,25,14.0,20.4,0.0,0.68,1.0,0.64
3%,13,5.0,61.84615384615385,3.0,7.923076923076923,0.0,2.8461538461538463
30,247,10.0,134.81376518218624,1.0,8.206477732793521,0.0,2.6315789473684212
30%,11,7.0,85.9090909090909,0.0,3.272727272727273,0.0,2.4545454545454546
300,71,4.0,182.50704225352112,1.0,16.732394366197184,0.0,2.3380281690140845
3000,37,41.0,49.432432432432435,6.0,14.945945945945946,2.0,3.5135135135135136
31,50,9.0,22.12,1.0,14.8,0.0,0.54
310,11,0.0,21.545454545454547,0.0,1.9090909090909092,0.0,1.4545454545454546
320,24,0.0,3.3333333333333335,0.0,1.0833333333333333,0.0,0.5
35,29,12.0,732.7931034482758,1.0,34.37931034482759,0.0,17.448275862068964
350,14,1.5,125.71428571428571,0.0,11.428571428571429,0.0,7.071428571428571
36,17,5.0,65.05882352941177,0.0,7.882352941176471,0.0,0.9411764705882353
360,10,1.5,65.3,0.0,0.3,0.0,0.5
37,11,2.0,116.81818181818181,0.0,12.0,0.0,0.5454545454545454
38,19,5.0,50.1578947368421,1.0,8.31578947368421,0.0,0.15789473684210525
380,10,0.0,22.9,0.0,2.7,0.0,0.1
399,13,1.0,1.2307692307692308,0.0,0.8461538461538461,0.0,0.3076923076923077
3D,11,9.0,14.272727272727273,0.0,1.9090909090909092,1.0,1.0
3F,38,40.5,152.68421052631578,2.0,6.973684210526316,2.0,4.342105263157895
3M,10,26.5,31.0,0.0,0.8,0.0,0.4
40,64,23.5,179.015625,3.0,17.59375,0.0,2.234375
40%,10,10.0,1028.8,2.5,51.9,0.0,14.1
400,13,2.0,16.615384615384617,0.0,5.615384615384615,0.0,0.46153846153846156
4000,13,36.0,52.53846153846154,5.0,11.153846153846153,0.0,0.07692307692307693
41,12,17.5,62.25,3.0,11.583333333333334,0.0,1.8333333333333333
43,11,17.0,186.54545454545453,4.0,11.909090909090908,0.0,14.454545454545455
44,10,14.0,139.6,0.5,16.7,0.0,1.5
45,21,6.0,118.0,0.0,5.666666666666667,0.0,2.238095238095238
46,13,7.0,9.23076923076923,1.0,2.5384615384615383,0.0,0.0
5%,25,9.0,50.88,1.0,14.04,1.0,2.44
50,80,15.0,83.1375,3.0,10.2375,0.0,1.4
50%,29,1.0,7.724137931034483,0.0,0.6551724137931034,0.0,0.27586206896551724
500,47,4.0,31.04255319148936,1.0,11.23404255319149,0.0,0.5957446808510638
5000,87,10.0,32.770114942528735,4.0,9.505747126436782,0.0,0.27586206896551724
51,13,10.0,11.76923076923077,0.0,1.0769230769230769,1.0,1.0
54,10,23.0,111.4,1.5,26.1,0.0,1.4
55,12,20.0,379.75,1.0,46.75,1.5,8.583333333333334
550,10,1.5,21.1,0.0,1.9,0.0,0.8
59,17,1.0,20.58823529411765,0.0,2.1176470588235294,0.0,0.17647058823529413
60,117,0.0,226.68376068376068,0.0,26.786324786324787,0.0,4.914529914529915
60%,11,5.0,4.0,0.0,1.0909090909090908,0.0,0.18181818181818182
6000,13,16.0,732.9230769230769,2.0,26.846153846153847,0.0,3.3846153846153846
6267,10,2.0,3.1,0.0,0.0,0.0,0.1
65,25,47.0,174.4,9.0,19.6,1.0,4.04
66,37,0.0,10.243243243243244,0.0,0.6756756756756757,0.0,0.05405405405405406
690,10,19.5,23.3,0.5,1.5,0.5,1.0
70,11,21.0,69.0,1.0,10.090909090909092,0.0,0.8181818181818182
70.8%,59,17.0,27.47457627118644,2.0,3.3728813559322033,1.0,1.3898305084745763
727,10,2.0,3.1,0.0,0.0,0.0,0.1
73,57,0.0,8.526315789473685,0.0,1.263157894736842,0.0,0.05263157894736842
73cm,13,0.0,0.3076923076923077,0.0,0.0,0.0,0.0
80,122,0.0,7.237704918032787,0.0,1.0,0.0,0.040983606557377046
80cm,19,0.0,3.736842105263158,0.0,1.4210526315789473,0.0,0.0
85,13,5.0,17.923076923076923,0.0,5.153846153846154,0.0,0.46153846153846156
90,166,0.0,5.9156626506024095,0.0,1.8614457831325302,0.0,0.0
90%,21,9.0,47.61904761904762,1.0,3.4285714285714284,0.0,5.619047619047619
90cm,16,0.0,0.1875,0.0,0.0,0.0,0.0
925,28,0.0,0.6428571428571429,0.0,0.03571428571428571,0.0,0.0
97,17,14.0,54.76470588235294,0.0,3.7058823529411766,0.0,1.1176470588235294
999,12,3.5,11.916666666666666,0.5,2.8333333333333335,0.0,0.16666666666666666
AA,10,1273.5,1018.7,79.5,81.2,24.5,32.4
ACCUPASS,20,2.5,10.95,0.0,0.35,0.0,0.05
AI,595,4.0,22.80168067226891,0.0,2.877310924369748,0.0,1.0722689075630252
API,23,5.0,10.043478260869565,0.0,0.7391304347826086,0.0,0.43478260869565216
APP,11,1.0,1.3636363636363635,0.0,0.0,0.0,0.0
Add,15,0.0,1.2666666666666666,0.0,0.0,0.0,0.0
Adidas,12,26.0,25.0,0.0,2.6666666666666665,0.0,0.08333333333333333
Ads,18,10.0,22.11111111111111,0.0,0.9444444444444444,0.0,1.2222222222222223
Ai,64,8.0,31.515625,1.0,6.3125,1.0,1.953125
App,34,4.5,7.4411764705882355,0.0,0.8235294117647058,0.0,0.20588235294117646
Asia,12,5.0,6.666666666666667,0.0,0.0,0.0,0.0
B2B,22,13.0,18.954545454545453,0.0,5.136363636363637,0.0,0.36363636363636365
BD,10,18.0,28.5,0.0,3.8,0.0,0.2
Business,16,20.0,20.6875,1.0,1.0625,1.0,1.25
By,35,12.0,15.542857142857143,0.0,0.5714285714285714,0.0,0.45714285714285713
CP,14,28.0,72.42857142857143,3.5,22.571428571428573,0.0,2.857142857142857
CRM,14,3.5,12.071428571428571,0.0,1.1428571428571428,0.0,0.14285714285714285
CTA,10,3.0,10.1,0.0,0.7,0.0,0.2
Canva,37,3.0,109.72972972972973,0.0,3.27027027027027,0.0,11.972972972972974
ChatGPT,43,11.0,86.0,2.0,6.767441860465116,0.0,6.1395348837209305
Claude,14,2.5,14.071428571428571,2.0,3.2857142857142856,0.0,0.9285714285714286
Cursor,11,0.0,0.18181818181818182,0.0,0.0,0.0,0.0
Data,10,14.0,23.4,0.0,1.0,1.0,1.0
Day,105,142.0,200.86666666666667,10.0,14.342857142857143,0.0,1.161904761904762
ESG,11,2.0,1.6363636363636365,0.0,0.2727272727272727,0.0,0.0
Email,11,10.0,22.727272727272727,0.0,3.6363636363636362,1.0,0.9090909090909091
Engineer,15,10.0,12.4,0.0,0.4666666666666667,0.0,0.4
Excel,13,19.0,21.0,0.0,0.6153846153846154,1.0,1.6923076923076923
F1,25,23.0,229.12,0.0,11.56,0.0,12.72
FB,40,5.5,21.275,0.0,3.725,0.0,1.45
Facebook,15,17.0,23.066666666666666,0.0,5.133333333333334,0.0,1.0666666666666667
GPT,36,4.0,104.75,2.0,27.5,0.0,5.138888888888889
Gamma,10,28.0,26.0,3.0,4.1,1.0,1.4
Gemini,31,9.0,23.903225806451612,1.0,4.870967741935484,0.0,1.096774193548387
Gen,11,1.0,9.454545454545455,0.0,0.36363636363636365,0.0,0.2727272727272727
Google,126,10.0,21.674603174603174,0.0,3.5238095238095237,0.0,0.8095238095238095
HR,12,8.0,54.083333333333336,0.0,7.083333333333333,1.0,1.0
Head,13,15.0,18.0,0.0,0.38461538461538464,1.0,0.6153846153846154
Hello,24,21.5,103.20833333333333,5.0,32.958333333333336,0.0,0.625
Hi,10,14.0,86.9,4.0,24.5,1.0,1.2
IG,454,7.0,35.80616740088106,1.0,14.495594713656388,0.0,1.341409691629956
IP,25,6.0,12.44,0.0,14.16,0.0,0.16
IT,18,13.0,11.166666666666666,1.0,1.6111111111111112,1.0,0.7777777777777778
Ig,27,27.0,50.25925925925926,10.0,32.0,0.0,1.4074074074074074
Instagram,73,8.0,64.47945205479452,0.0,5.2465753424657535,0.0,2.5342465753424657
KOL,27,22.0,27.62962962962963,1.0,21.11111111111111,0.0,0.3333333333333333
KPI,26,8.5,12.076923076923077,0.0,1.5769230769230769,0.0,0.2692307692307692
LAP,10,5.0,22.3,0.0,0.6,1.0,2.2
